objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
42005,Table screen with land of immortals,China,Qing dynasty,1902,https://images.metmuseum.org/CRDImages/as/web-large/14546.jpg,H. 6 5/8 in. (16.9 cm); W. 9 1/16 in. (23 cm); D. 1/2 in. (1.3 cm)
49019,Hermit-Fisherman on a Spring River,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/1989_363_114_O.jpg,"Image: 72 3/4 x 35 3/4 in. (184.8 x 90.8 cm)
Overall with mounting: 98 3/4 x 43 1/8 in. (250.8 x 109.5 cm)
Overall with knobs: 98 3/4 x 46 3/8 in. (250.8 x 117.8 cm)"
646992,Ten Sites Associated with Ruan Yuan,China,Qing dynasty,2015,https://images.metmuseum.org/CRDImages/as/web-large/DP332016_crd.jpg,"Image (each): 10 3/4 in. × 13 in. (27.3 × 33 cm)
Mat (each): 18 × 18 in. (45.7 × 45.7 cm)"
63229,Page from the Mustard Seed Garden Manual of Painting,China,Qing dynasty,1924,https://images.metmuseum.org/CRDImages/as/web-large/DP-26850-001.jpg,9 5/8 x 11 13/16 in. (24.4 x 30 cm)
63338,Summer and Paulownia Tree (A Page from the Jie Zi Yuan),China,unknown,1924,https://images.metmuseum.org/CRDImages/as/web-large/CP42.jpg,9 5/8 x 5 7/8 in. (24.4 x 14.9 cm)
63327,Page from the Mustard Seed Garden Manual of Painting,China,Qing dynasty,1924,https://images.metmuseum.org/CRDImages/as/web-large/DP-26853-001.jpg,9 5/8 x 11 13/16 in. (24.4 x 30 cm)
63337,A Page from the Jie Zi Yuan,China,unknown,1924,https://images.metmuseum.org/CRDImages/as/web-large/CP41.jpg,9 5/8 x 5 7/8 in. (24.4 x 14.9 cm)
63211,A Page from the Jie Zi Yuan,China,unknown,1924,https://images.metmuseum.org/CRDImages/as/web-large/DP-26846-001.jpg,9 5/8 x 11 13/16 in. (24.4 x 30 cm)
49150,Clearing after Rain over Streams and Mountains,China,Qing dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP154167.jpg,"Image: 44 7/8 × 17 7/8 in. (114 × 45.4 cm)
Overall with mounting: 8 ft. 7 1/2 in.  × 24 1/4 in. (262.9 × 61.6 cm)
Overall with knobs: 8 ft. 7 1/2 in. × 27 1/2 in. (262.9 × 69.9 cm)"
73021,Landscape Sketches of Inner Mongolia,China,unknown,2005,,"Overall (a): 8 3/4 x 12 3/4 in. (22.2 x 32.4 cm)
Overall (b): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (c): 12 3/4 x 8 11/16 in. (32.4 x 22.1 cm)
Overall (d): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (e): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (f): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (g): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (h): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (i): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)
Overall (j): 8 11/16 x 12 3/4 in. (22.1 x 32.4 cm)"
